3,2,1,0,0.657346,0.01465
3,2,1,0.02,0.654566,0.015177
3,2,1,0.04,0.652875,0.0151
3,2,1,0.06,0.650623,0.01548
3,2,1,0.08,0.648392,0.01437
3,2,1,0.1,0.6452,0.015531
3,2,1,0.12,0.643325,0.015434
3,2,1,0.14,0.639801,0.014887
3,2,1,0.16,0.637597,0.014886
3,2,1,0.18,0.634762,0.015914
3,2,1,0.2,0.632179,0.015856
3,2,1,0.22,0.629094,0.015272
3,2,1,0.24,0.626198,0.015499
3,2,1,0.26,0.623909,0.015616
3,2,1,0.28,0.620868,0.016179
3,2,1,0.3,0.616979,0.015778
3,2,1,0.32,0.614516,0.016009
3,2,1,0.34,0.611495,0.015989
3,2,1,0.36,0.608082,0.016613
3,2,1,0.38,0.605625,0.015755
3,2,1,0.4,0.602993,0.015847
3,2,1,0.42,0.598427,0.015695
3,2,1,0.44,0.594113,0.016681
3,2,1,0.46,0.591387,0.016542
3,2,1,0.48,0.587433,0.016139
3,2,1,0.5,0.58446,0.016308
3,2,1,0.52,0.580984,0.016679
3,2,1,0.54,0.57678,0.016659
3,2,1,0.56,0.572818,0.01672
3,2,1,0.58,0.568774,0.017217
3,2,1,0.6,0.565482,0.016949
3,2,1,0.62,0.560252,0.017092
3,2,1,0.64,0.557334,0.017077
3,2,1,0.66,0.552239,0.017435
3,2,1,0.68,0.548359,0.017996
3,2,1,0.7,0.542848,0.017684
3,2,1,0.72,0.538679,0.017986
3,2,1,0.74,0.534234,0.017775
3,2,1,0.76,0.528282,0.018819
3,2,1,0.78,0.524413,0.019153
3,2,1,0.8,0.51847,0.019068
3,2,1,0.82,0.515111,0.019253
3,2,1,0.84,0.508528,0.019279
3,2,1,0.86,0.502705,0.019769
3,2,1,0.88,0.497226,0.019049
3,2,1,0.9,0.490882,0.020214
3,2,1,0.92,0.48579,0.021455
3,2,1,0.94,0.480515,0.019865
3,2,1,0.96,0.473751,0.020801
3,2,1,0.98,0.465431,0.021575
3,2,1,1,0.459005,0.021452
